country,location,reef,geomorphology,year,n_sets,n_rayspp,ray_maxn,SE_rays,Ham_maxn,SE_Ham,Uja_maxn,SE_Uja,Ana_maxn,SE_Ana,Ssc_maxn,SE_Ssc,shark_maxn,SE_sharks,apex_maxn,SE_apex,reef_maxn,SE_reef,bait,temp,relief,vis,depth,gravity,reef_protection_status,compliance,shark_fishing,ray_fishing,rays_landed,bottom_gear
Antigua & Barbuda,Barbuda,Palaster,low island,2016,51,2,0.117647059,0.04556451,0.098039216,0.042054138,0,0,0.019607843,0.019607843,0,0,1.156862745,0.113319085,0.019607843,0.019607843,1.078431373,0.114936085,tuna,27.8,2.1,9.2,12.3,9,reserve,medium,closed,closed,no,no
Bahamas,Abaco,Bight ,low island,2016,52,1,0.173076923,0.052974523,0.173076923,0.052974523,0,0,0,0,0,0,1.365384615,0.152971685,0.038461538,0.026928463,1.326923077,0.149713537,sardines,30.6,1.8,9.2,11.8,18.2,none,na,closed,open,no,no
Bahamas,Abaco,Elbow Cay,low island,2015,35,1,0.114285714,0.054563641,0.114285714,0.054563641,0,0,0,0,0,0,0.485714286,0.103480835,0,0,0.457142857,0.103248555,sardines,32.3,1.7,9.5,9.7,22.2,none,na,closed,open,no,no
Bahamas,Abaco,Green Turtle,low island,2015,38,1,0.157894737,0.059946821,0.157894737,0.059946821,0,0,0,0,0,0,0.789473684,0.131507804,0,0,0.789473684,0.131507804,sardines,29.7,1.2,9.4,8.5,19.6,none,na,closed,open,no,no
Bahamas,Abaco,Guana Cay,low island,2016,42,1,0.142857143,0.054649433,0.142857143,0.054649433,0,0,0,0,0,0,1.30952381,0.14653606,0,0,1.30952381,0.14653606,sardines,28.5,1.5,9,12.2,18.1,none,na,closed,open,no,no
Bahamas,Andros,North,low island,2016,47,1,0.085106383,0.041142194,0.085106383,0.041142194,0,0,0,0,0,0,0.936170213,0.119373384,0.021276596,0.021276596,0.872340426,0.116283098,sardines,27,1.1,8.1,13.3,24.7,none,na,closed,open,no,no
Bahamas,Andros,South,low island,2016,46,2,0.195652174,0.059136828,0.173913043,0.056503156,0.02173913,0.02173913,0,0,0,0,1.47826087,0.151447542,0,0,1.434782609,0.157431601,sardines,27.4,0.9,8.1,12.8,19.9,none,na,closed,open,no,no
Bahamas,Conception,Conception,low island,2016,38,2,0.131578947,0.05557219,0.078947368,0.044331272,0.052631579,0.036709781,0,0,0,0,1.026315789,0.197735552,0.078947368,0.044331272,0.947368421,0.192118416,sardines,26.9,0.2,9.3,11.3,4.4,reserve,medium,closed,closed,no,no
Bahamas,Exumas,North,low island,2015,32,3,0.125,0.05939887,0.0625,0.043475521,0.03125,0.03125,0,0,0.03125,0.03125,2.15625,0.242256591,0.03125,0.03125,2.125,0.236532409,bonito,27.5,1,9,12.8,11.5,none,na,closed,open,no,no
Bahamas,Exumas,Middle,low island,2015,29,2,0.27586207,0.097966413,0.103448276,0.057553308,0.137931034,0.065166288,0,0,0,0,1.793103448,0.323082865,0.034482759,0.034482759,1.75862069,0.316442558,bonito,27.4,0.7,9.2,13,8.8,reserve,high,closed,closed,no,no
